games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,section_1_text.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,status_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,871240,001,2023-10-24_16h49.10.349,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,871240,001,2023-10-24_16h49.10.349,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,10.457141957999738,,,,,,,,,871240,001,2023-10-24_16h49.10.349,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,0.002186665999943216,"[-0.37444444444444447, -0.37444444444444447, -0.37444444444444447, -0.37444444444444447, -0.37444444444444447, -0.37555555555555553, -0.37777777777777777, -0.3788888888888889, -0.36777777777777776, -0.36, -0.35777777777777775, -0.35777777777777775, -0.35777777777777775]","[0.43444444444444447, 0.43444444444444447, 0.43444444444444447, 0.43444444444444447, 0.43333333333333335, 0.4311111111111111, 0.4255555555555556, 0.41333333333333333, 0.38222222222222224, 0.37, 0.3688888888888889, 0.3688888888888889, 0.3688888888888889]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00040837500000634464, 0.049111374999483814, 0.0976184999999532, 0.14635579100013274, 0.1954555000002074, 0.24398358300004475, 0.29258158300035575, 0.3416806249997535, 0.3910144159999618, 0.43998445800025365, 0.4895351249997475, 0.5391096249995826, 0.5874948749997202]",25.34292262499912,,,,,,,
