board_outline.started,box_1.started,text_1.started,arrow.started,box_2.started,text_2.started,left_arrow.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,875652,001,2023-09-27_14h37.57.740,WythoffsHumanExp,2023.1.3,None,
9.784841207962018,9.784841207962018,9.784841207962018,9.784841207962018,9.784841207962018,9.784841207962018,9.784841207962018,,,,,,,
