games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,countdown_text.started,blue_piece.started,red_piece.started,piece.started,text.started,moving_piece.started,npc.started,moving_npc.started,end_blue.started,end_red.started,feedback_win.started,feedback_lose.started,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,8.323861000011675,8.323861000011675,8.323861000011675,11.338987457973417,11.338987457973417,11.733481457980815,12.735776000015903,13.998793333012145,,,,,130030,001,2023-09-25_14h47.55.915,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,,,,,,,,14.997326000011526,14.997326000011526,15.704936207970604,15.704936207970604,130030,001,2023-09-25_14h47.55.915,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,17.74281762499595,17.74281762499595,17.74281762499595,,,,20.76737845799653,22.02804358297726,,,,,130030,001,2023-09-25_14h47.55.915,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,1,0,1,0,,,,23.034912583010737,23.034912583010737,25.061507166014053,26.104909457964823,27.316457832988817,,,,,130030,001,2023-09-25_14h47.55.915,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,2,0,2,0,,,,28.317424457985908,28.317424457985908,29.19634954101639,30.20443099999102,31.460544499976095,,,,,130030,001,2023-09-25_14h47.55.915,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,3,0,3,0,,,,32.478517375013325,32.478517375013325,33.30644712498179,,,,,,,130030,001,2023-09-25_14h47.55.915,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,,,,,,,,34.33433270797832,34.33433270797832,35.085739957983606,35.085739957983606,130030,001,2023-09-25_14h47.55.915,WythoffsHumanExp,2023.1.3,None,
