practice_games.thisRepN,practice_games.thisTrialN,practice_games.thisN,practice_games.thisIndex,practice_turns.thisRepN,practice_turns.thisTrialN,practice_turns.thisN,practice_turns.thisIndex,section_0_text.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,status_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,267115,001,2024-01-24_15h29.46.622,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,267115,001,2024-01-24_15h29.46.622,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,14.317385250004008,,,,,,,,,267115,001,2024-01-24_15h29.46.622,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,0.0005940419505350292,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005555555555555556, 0.03222222222222222, 0.08222222222222222, 0.12555555555555556, 0.13777777777777778, 0.13777777777777778, 0.13777777777777778, 0.13777777777777778, 0.13777777777777778, 0.19, 0.26555555555555554, 0.2877777777777778, 0.2877777777777778, 0.2877777777777778, 0.2877777777777778, 0.2877777777777778, 0.2877777777777778, 0.29444444444444445, 0.3011111111111111, 0.30333333333333334, 0.30444444444444446, 0.30444444444444446, 0.30444444444444446, 0.30444444444444446, 0.30444444444444446, 0.30444444444444446, 0.30444444444444446, 0.30444444444444446, 0.30333333333333334, 0.30333333333333334, 0.30333333333333334, 0.30333333333333334]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.011111111111111112, 0.09888888888888889, 0.2911111111111111, 0.41333333333333333, 0.43555555555555553, 0.43555555555555553, 0.43555555555555553, 0.43555555555555553, 0.43555555555555553, 0.43555555555555553, 0.4288888888888889, 0.42444444444444446, 0.42444444444444446, 0.42444444444444446, 0.42444444444444446, 0.42444444444444446, 0.42333333333333334, 0.4122222222222222, 0.40555555555555556, 0.4022222222222222, 0.4022222222222222, 0.4022222222222222, 0.4022222222222222, 0.4022222222222222, 0.4022222222222222, 0.4022222222222222, 0.4022222222222222, 0.4022222222222222, 0.4033333333333333, 0.4033333333333333, 0.4033333333333333, 0.4033333333333333]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0001664169831201434, 0.05023420898942277, 0.09941129200160503, 0.14845962496474385, 0.19752283400157467, 0.24652916699415073, 0.29623879195423797, 0.34626683400711045, 0.39557195897214115, 0.44491308397846296, 0.4947274169535376, 0.5444715420017019, 0.5944817090057768, 0.6448646250064485, 0.6951096249977127, 0.7450859170057811, 0.7952246670029126, 0.8447902919724584, 0.8938150419853628, 0.9428928339621052, 0.9931638339767233, 1.042819624999538, 1.0935994999599643, 1.1435808339738287, 1.1929834169568494, 1.2429839589749463, 1.2935598339536227, 1.3429871249827556, 1.3929926249547862, 1.443853999953717, 1.4942806669860147, 1.544805291981902, 1.595186416991055, 1.6448820839868858, 1.6943937499891035, 1.7438392919721082, 1.7939093339955434, 1.8437047089682892, 1.8928082499769516, 1.9433444589958526, 1.9940479589859024, 2.043937709007878, 2.093633083975874, 2.1431760839768685, 2.194360458990559]",48.29590600001393,,,,,,,
