board_outline.started,box_1.started,text_1.started,arrow.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,620034,001,2023-09-27_13h29.52.202,WythoffsHumanExp,2023.1.3,None,
10.303803290997166,10.303803290997166,10.303803290997166,10.303803290997166,,,,,,,
