games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,section_1_text.started,status_text.started,recall_text.started,section_2_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,377325,001,2023-10-04_13h34.27.264,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,377325,001,2023-10-04_13h34.27.264,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,17.033973333003814,,,,377325,001,2023-10-04_13h34.27.264,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,,,377325,001,2023-10-04_13h34.27.264,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,,,,377325,001,2023-10-04_13h34.27.264,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,26.83545579201018,,,377325,001,2023-10-04_13h34.27.264,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,,,377325,001,2023-10-04_13h34.27.264,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,1,0,1,0,,,,,377325,001,2023-10-04_13h34.27.264,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,38.15243562500109,,,377325,001,2023-10-04_13h34.27.264,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,52.91889191701193,,377325,001,2023-10-04_13h34.27.264,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,377325,001,2023-10-04_13h34.27.264,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,53.59330162500555,377325,001,2023-10-04_13h34.27.264,WythoffsHumanExp,2023.1.3,None,
