board_outline.started,box_1.started,text_1.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,759504,001,2023-09-27_13h22.18.634,WythoffsHumanExp,2023.1.3,None,
10.073807792039588,10.073807792039588,10.073807792039588,,,,,,,
