practice_games.thisRepN,practice_games.thisTrialN,practice_games.thisN,practice_games.thisIndex,practice_turns.thisRepN,practice_turns.thisTrialN,practice_turns.thisN,practice_turns.thisIndex,double_click_1.thisRepN,double_click_1.thisTrialN,double_click_1.thisN,double_click_1.thisIndex,games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,double_click_2.thisRepN,double_click_2.thisTrialN,double_click_2.thisN,double_click_2.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,intervention_moves.thisRepN,intervention_moves.thisTrialN,intervention_moves.thisN,intervention_moves.thisIndex,double_click_3.thisRepN,double_click_3.thisTrialN,double_click_3.thisN,double_click_3.thisIndex,more_games.thisRepN,more_games.thisTrialN,more_games.thisN,more_games.thisIndex,more_turns.thisRepN,more_turns.thisTrialN,more_turns.thisN,more_turns.thisIndex,tutorial_games.thisRepN,tutorial_games.thisTrialN,tutorial_games.thisN,tutorial_games.thisIndex,tutorial_turns.thisRepN,tutorial_turns.thisTrialN,tutorial_turns.thisN,tutorial_turns.thisIndex,double_click_4.thisRepN,double_click_4.thisTrialN,double_click_4.thisN,double_click_4.thisIndex,new_games.thisRepN,new_games.thisTrialN,new_games.thisN,new_games.thisIndex,turns_4.thisRepN,turns_4.thisTrialN,turns_4.thisN,turns_4.thisIndex,section_0_text.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,status_text.started,section_1_text.started,blink_text.started,section_2_text.started,section_3_text.started,euclid_text.started,section_4_text.started,end_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512050,2,2024-02-04_15h14.53.096,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512050,2,2024-02-04_15h14.53.096,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.991500999996788,,,,,,,,,,,,,,,,512050,2,2024-02-04_15h14.53.096,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017128792002040427,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.044444444444444446, -0.17222222222222222, -0.2866666666666667, -0.35888888888888887, -0.39111111111111113, -0.40444444444444444, -0.4166666666666667, -0.42777777777777776, -0.43555555555555553, -0.43666666666666665, -0.43555555555555553, -0.43555555555555553]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005555555555555556, 0.058888888888888886, 0.12444444444444444, 0.16333333333333333, 0.18222222222222223, 0.18777777777777777, 0.19111111111111112, 0.20333333333333334, 0.22555555555555556, 0.2388888888888889, 0.24, 0.24]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00017104099970310926, 0.04992279100406449, 0.09821912500046892, 0.14622195799893234, 0.19432845799747156, 0.24255083299794933, 0.2908037500019418, 0.33936166600324214, 0.3881980410005781, 0.43674420800380176, 0.4861905830039177, 0.5352928749998682, 0.5841287080038455, 0.6328555830041296, 0.682164208003087, 0.7314194999999017, 0.7806153330020607, 0.8296151660033502, 0.8786675410010503, 0.9276071659987792, 0.9768592079999507, 1.0255568330030655]",85.21315020799375,73.5774974579981,,,,,,,512050,2,2024-02-04_15h14.53.096,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027555166998354252,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.006666666666666667, -0.05444444444444444, -0.18777777777777777, -0.30666666666666664, -0.3711111111111111, -0.4022222222222222, -0.42333333333333334, -0.44, -0.44555555555555554, -0.44555555555555554, -0.44555555555555554, -0.4388888888888889, -0.4288888888888889, -0.4222222222222222, -0.42, -0.42]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0033333333333333335, 0.03222222222222222, 0.1111111111111111, 0.18333333333333332, 0.21888888888888888, 0.2311111111111111, 0.23555555555555555, 0.23666666666666666, 0.23666666666666666, 0.2311111111111111, 0.21333333333333335, 0.19444444444444445, 0.18333333333333332, 0.17888888888888888, 0.17777777777777778, 0.17777777777777778]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00017554100486449897, 0.0493180410048808, 0.09753766599897062, 0.14603608300240012, 0.19434233300125925, 0.24272312500397675, 0.290780540999549, 0.3394447910031886, 0.3886802909983089, 0.4376346659992123, 0.4865985409996938, 0.5354271250034799, 0.5843534579980769, 0.633242625001003, 0.6817612080049003, 0.731054125004448, 0.7800533330009785, 0.829454541002633, 0.8780797500003246, 0.9268110410048394, 0.9755992499995045, 1.0249782910032081, 1.074002790999657, 1.1234405830036849]",95.06603362500027,,,,,,,,512050,2,2024-02-04_15h14.53.096,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512050,2,2024-02-04_15h14.53.096,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512050,2,2024-02-04_15h14.53.096,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.78458204100025,,,,,,512050,2,2024-02-04_15h14.53.096,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03648099999554688,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.025555555555555557, -0.10777777777777778, -0.24444444444444444, -0.3433333333333333, -0.38, -0.39222222222222225, -0.4, -0.40555555555555556, -0.41333333333333333, -0.41555555555555557]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.008888888888888889, 0.06222222222222222, 0.15222222222222223, 0.19777777777777777, 0.21333333333333335, 0.21555555555555556, 0.21888888888888888, 0.22555555555555556, 0.23444444444444446, 0.23555555555555555]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00018166700465371832, 0.04925241700402694, 0.09690312500606524, 0.14469783300592098, 0.19237654199969256, 0.2400363330016262, 0.28801737500180025, 0.33585395800037077, 0.3838728330010781, 0.43173329200362787, 0.4798424580003484, 0.5285275420028483, 0.5776527920024819, 0.6261598330020206, 0.6757666670018807, 0.7252483330012183, 0.77385829200648, 0.8230304580065422, 0.8717832920010551, 0.9203765830025077, 0.970114542004012, 1.0191388330058544]",134.12033429099392,,,97.22826162499405,115.68292291599937,135.12467012499837,,,512050,2,2024-02-04_15h14.53.096,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512050,2,2024-02-04_15h14.53.096,WythoffsHumanExp,2023.1.3,None,
