games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,countdown_text.started,blue_piece.started,red_piece.started,piece.started,text.started,moving_piece.started,moving_npc.started,npc.started,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,8.199421458004508,8.199421458004508,8.199421458004508,11.199937457975466,11.199937457975466,11.674660665972624,12.712706374994013,,412196,001,2023-09-25_13h26.48.305,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,,,,,,,,412196,001,2023-09-25_13h26.48.305,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,13.750261416018475,13.750261416018475,13.750261416018475,16.747312832972966,16.747312832972966,19.886676332971547,22.174948707979638,20.92144104099134,412196,001,2023-09-25_13h26.48.305,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,,,,,,,,412196,001,2023-09-25_13h26.48.305,WythoffsHumanExp,2023.1.3,None,
