games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,intervention_moves.thisRepN,intervention_moves.thisTrialN,intervention_moves.thisN,intervention_moves.thisIndex,section_1_text.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,status_text.started,recall_text.started,section_2_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,276515,001,2023-10-12_13h35.52.960,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,276515,001,2023-10-12_13h35.52.960,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,62.115663541000686,,,,,,,,,,,276515,001,2023-10-12_13h35.52.960,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,,,,,,,,[],[],[],[],[],[],,,,,276515,001,2023-10-12_13h35.52.960,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,,,,,,,,,"[-0.3422222222222222, -0.3422222222222222, -0.3422222222222222, -0.3422222222222222, -0.3433333333333333, -0.34555555555555556, -0.34555555555555556, -0.34555555555555556, -0.34555555555555556, -0.34555555555555556, -0.34555555555555556]","[0.29888888888888887, 0.29888888888888887, 0.3, 0.30444444444444446, 0.31444444444444447, 0.3233333333333333, 0.33444444444444443, 0.3411111111111111, 0.3433333333333333, 0.34555555555555556, 0.34555555555555556]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0003793749929172918, 0.04959062499983702, 0.09897604200523347, 0.1482342079980299, 0.19752649999281857, 0.24730087499483489, 0.29675637499894947, 0.34675708299619146, 0.3962346670014085, 0.4458752079954138, 0.4953162500023609]",0.001592041997355409,,,,276515,001,2023-10-12_13h35.52.960,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,72.9562945409998,,,276515,001,2023-10-12_13h35.52.960,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,,,,,,,,"[-0.3566666666666667, -0.3566666666666667, -0.3566666666666667, -0.3566666666666667, -0.3566666666666667, -0.3566666666666667, -0.3566666666666667]","[0.2911111111111111, 0.2911111111111111, 0.2911111111111111, 0.2911111111111111, 0.2911111111111111, 0.2922222222222222, 0.2922222222222222]","[0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0.0001795839925762266, 0.04924008400121238, 0.09770766699512023, 0.1463511249894509, 0.19610433399793692, 0.24597124999854714, 0.2955486669961829]",0.019031375006306916,,,,276515,001,2023-10-12_13h35.52.960,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,1,0,1,0,,,,,,,,,,"[-0.4077777777777778, -0.4077777777777778]","[0.41, 0.41]","[1, 0]","[0, 0]","[0, 0]","[0.0008188749925466254, 0.05079716599720996]",0.025214167006197385,,,,276515,001,2023-10-12_13h35.52.960,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,82.0154472909926,,,276515,001,2023-10-12_13h35.52.960,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,82.53160654100066,,276515,001,2023-10-12_13h35.52.960,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,276515,001,2023-10-12_13h35.52.960,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,83.82459704099165,276515,001,2023-10-12_13h35.52.960,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,276515,001,2023-10-12_13h35.52.960,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,276515,001,2023-10-12_13h35.52.960,WythoffsHumanExp,2023.1.3,None,
