trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,countdown_text.started,blue_piece.started,red_piece.started,piece.started,text.started,moving_piece.started,npc.started,moving_npc.started,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,8.85220370895695,8.85220370895695,8.85220370895695,11.836647333984729,11.836647333984729,14.082118749967776,15.097937541955616,16.34235979197547,431950,001,2023-09-25_12h21.05.044,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,17.35706329200184,17.35706329200184,22.580280166992452,23.62417495896807,24.841653042007238,431950,001,2023-09-25_12h21.05.044,WythoffsHumanExp,2023.1.3,None,
,,,,,,,25.842524166975636,25.842524166975636,26.22633458400378,,,,,,,,,
