trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,countdown_text.started,blue_piece.started,red_piece.started,npc.started,moving_npc.started,piece.started,text.started,moving_piece.started,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,8.441406750003807,8.441406750003807,8.441406750003807,11.45583562500542,12.72738754202146,,,,978652,001,2023-09-25_12h30.05.490,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,13.745475541974884,13.745475541974884,16.372349707991816,,,,,,,
