board_outline.started,box_1.started,text_1.started,arrow.started,box_2.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,135748,001,2023-09-27_13h58.42.362,WythoffsHumanExp,2023.1.3,None,
10.264279542025179,10.264279542025179,10.264279542025179,10.264279542025179,10.264279542025179,,,,,,,
