games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,section_1_text.started,status_text.started,recall_text.started,section_2_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,873833,001,2023-10-03_13h25.38.547,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,873833,001,2023-10-03_13h25.38.547,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,12.345719582997845,,,,873833,001,2023-10-03_13h25.38.547,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,,,873833,001,2023-10-03_13h25.38.547,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,19.398159374992247,,,873833,001,2023-10-03_13h25.38.547,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,,,873833,001,2023-10-03_13h25.38.547,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,29.54471545800334,,,873833,001,2023-10-03_13h25.38.547,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,31.10486341599608,,873833,001,2023-10-03_13h25.38.547,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,873833,001,2023-10-03_13h25.38.547,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,32.495346832991345,873833,001,2023-10-03_13h25.38.547,WythoffsHumanExp,2023.1.3,None,
