games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,intervention_moves.thisRepN,intervention_moves.thisTrialN,intervention_moves.thisN,intervention_moves.thisIndex,section_1_text.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,status_text.started,recall_text.started,section_2_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,145524,001,2023-10-12_15h19.57.938,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,145524,001,2023-10-12_15h19.57.938,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,10.733277791994624,,,,,,,,,,,145524,001,2023-10-12_15h19.57.938,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,,,,,,,,[],[],[],[],[],[],,,,,145524,001,2023-10-12_15h19.57.938,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,,,,,,,,,"[-0.3977777777777778, -0.3977777777777778, -0.3977777777777778]","[0.28555555555555556, 0.28555555555555556, 0.28555555555555556]","[0, 1, 0]","[0, 0, 0]","[0, 0, 0]","[0.0001683329901425168, 0.04966687499836553, 0.09857391599507537]",0.041940125011024065,,,,145524,001,2023-10-12_15h19.57.938,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,21.002988499996718,,,145524,001,2023-10-12_15h19.57.938,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,,,,,,,,"[-0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.49666666666666665, -0.4911111111111111, -0.47, -0.4477777777777778, -0.43333333333333335, -0.4266666666666667, -0.42444444444444446, -0.4211111111111111, -0.4177777777777778, -0.4166666666666667, -0.41555555555555557, -0.41555555555555557, -0.41555555555555557, -0.41555555555555557, -0.41555555555555557]","[0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.37555555555555553, 0.3788888888888889, 0.39, 0.39555555555555555, 0.3977777777777778, 0.3977777777777778, 0.3988888888888889, 0.3988888888888889, 0.4, 0.4, 0.4011111111111111, 0.4022222222222222, 0.4022222222222222, 0.4022222222222222, 0.4022222222222222]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00017079200188163668, 0.04920504199981224, 0.09752316700178199, 0.1456617920048302, 0.19367316699936055, 0.24193708400707692, 0.2901426669995999, 0.33823999999731313, 0.38660920900292695, 0.4349530000035884, 0.4834395000070799, 0.532182416995056, 0.5808356250054203, 0.6293650000006892, 0.6774581250065239, 0.725542083993787, 0.7737089169968385, 0.8216187090001768, 0.8701600000058534, 0.9183176670048852, 0.9666563339997083, 1.0153354590001982, 1.063576667002053, 1.1119323339953553, 1.160281499993289, 1.2082993340009125, 1.256811833998654, 1.305156458998681, 1.353447542001959, 1.4021813339932123, 1.4501108749973355, 1.4982208339934004, 1.5461936670035357, 1.594232417002786, 1.6424795000057202, 1.6908659170003375, 1.7387556670000777, 1.7866390419949312, 1.8349360839929432, 1.8836025000055088, 1.9321013750013663, 1.9803616249992047, 2.0290737500035902, 2.0776203340064967, 2.1261097499955213, 2.1744546669942793, 2.2229024590051267, 2.2713070419995347, 2.3200413339945953, 2.3681929589947686, 2.416212166994228, 2.4644411250046687, 2.5124927919969196, 2.5607177920028334, 2.6089085840067128, 2.657243791996734, 2.7052285420068074, 2.7534968749969266, 2.8019667089974973, 2.8505366669996874, 2.8987798750022193, 2.9471325000049546, 2.9954872090020217, 3.0434714169969084, 3.092178334001801, 3.140247458999511, 3.189026042004116, 3.237215417000698, 3.2853173339972273, 3.3332721250044415, 3.3819140840059845, 3.4296820419986034, 3.477824250003323, 3.5256590839999262, 3.5739216249930905, 3.6225137500005076, 3.671865500000422, 3.7211686670052586, 3.7700259999983246, 3.8191407090052962, 3.8683327500039013, 3.9170964590011863, 3.9657259590021567, 4.014528208994307, 4.063776416995097, 4.11250541699701, 4.161546125003952, 4.210686834005173, 4.260389709001174, 4.30922537499282]",0.024582250000094064,,,,145524,001,2023-10-12_15h19.57.938,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,30.666832167000393,,,145524,001,2023-10-12_15h19.57.938,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,31.50490404199809,,145524,001,2023-10-12_15h19.57.938,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,145524,001,2023-10-12_15h19.57.938,WythoffsHumanExp,2023.1.3,None,
