games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,intervention_moves.thisRepN,intervention_moves.thisTrialN,intervention_moves.thisN,intervention_moves.thisIndex,more_games.thisRepN,more_games.thisTrialN,more_games.thisN,more_games.thisIndex,section_1_text.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,status_text.started,imagine_text.started,section_2_text.started,section_3_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238334,000,2023-10-16_14h12.46.766,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238334,000,2023-10-16_14h12.46.766,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,14.977268500020728,,,,,,,,,,,,238334,000,2023-10-16_14h12.46.766,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,,,,,,,,,,,,,0.014187124994350597,"[-0.40444444444444444, -0.40444444444444444, -0.40444444444444444]","[0.41, 0.41, 0.41]","[0, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.00017433299217373133, 0.05027066598995589, 0.09975391600164585]",25.11177804201725,,,,238334,000,2023-10-16_14h12.46.766,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,,,,,,,,,,,,,0.03280679200543091,"[-0.5066666666666667, -0.5066666666666667, -0.5066666666666667, -0.5066666666666667, -0.5066666666666667, -0.5066666666666667, -0.5066666666666667, -0.5066666666666667, -0.5066666666666667, -0.5066666666666667, -0.5066666666666667, -0.5066666666666667, -0.5066666666666667, -0.5066666666666667, -0.5066666666666667, -0.5066666666666667, -0.5066666666666667, -0.5066666666666667, -0.5066666666666667, -0.5066666666666667, -0.5066666666666667, -0.5066666666666667, -0.5066666666666667, -0.5066666666666667, -0.5066666666666667, -0.5066666666666667, -0.5066666666666667, -0.5066666666666667, -0.5066666666666667, -0.5066666666666667, -0.5066666666666667, -0.5066666666666667, -0.5066666666666667, -0.5066666666666667, -0.5066666666666667, -0.5066666666666667, -0.5066666666666667, -0.5066666666666667, -0.5066666666666667, -0.5044444444444445, -0.5022222222222222, -0.5022222222222222, -0.5011111111111111, -0.5011111111111111, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.48333333333333334, -0.4488888888888889, -0.43555555555555553, -0.42444444444444446, -0.4177777777777778, -0.41333333333333333, -0.4111111111111111, -0.4011111111111111, -0.39444444444444443, -0.3888888888888889, -0.3844444444444444, -0.3811111111111111, -0.38]","[0.31666666666666665, 0.31666666666666665, 0.31666666666666665, 0.31666666666666665, 0.31666666666666665, 0.31666666666666665, 0.31666666666666665, 0.31666666666666665, 0.31666666666666665, 0.31666666666666665, 0.31666666666666665, 0.31666666666666665, 0.31666666666666665, 0.31666666666666665, 0.31666666666666665, 0.31666666666666665, 0.31666666666666665, 0.31666666666666665, 0.31666666666666665, 0.31666666666666665, 0.31666666666666665, 0.31666666666666665, 0.31666666666666665, 0.31666666666666665, 0.31666666666666665, 0.31666666666666665, 0.31666666666666665, 0.31666666666666665, 0.31666666666666665, 0.31666666666666665, 0.31666666666666665, 0.31666666666666665, 0.31666666666666665, 0.31666666666666665, 0.31666666666666665, 0.31666666666666665, 0.31666666666666665, 0.31666666666666665, 0.31666666666666665, 0.31666666666666665, 0.31666666666666665, 0.31666666666666665, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.31555555555555553, 0.3233333333333333, 0.3333333333333333, 0.3333333333333333, 0.33111111111111113, 0.3288888888888889, 0.33111111111111113, 0.3333333333333333, 0.33666666666666667, 0.3377777777777778, 0.34, 0.34, 0.3411111111111111, 0.3411111111111111]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00017312500858679414, 0.049071332992753014, 0.09779508298379369, 0.14747424999950454, 0.19667004098300822, 0.24601916599203832, 0.2952371659921482, 0.34402608301024884, 0.39239616598933935, 0.44071979098953307, 0.48886366598890163, 0.5374143329972867, 0.5859493750031106, 0.6347299999906681, 0.683712750003906, 0.7327183749875985, 0.7811885830014944, 0.8298497500072699, 0.8790309999894816, 0.9285384579852689, 0.9772333749860991, 1.0260533329856116, 1.074721374985529, 1.1228136660065502, 1.1722484579950105, 1.221827083005337, 1.2702681660011876, 1.3187644580029882, 1.367533624987118, 1.4160016659880057, 1.4644784159900155, 1.513479457993526, 1.562828708003508, 1.6119764579925686, 1.6607257499999832, 1.7098872080096044, 1.7587095409980975, 1.80726608299301, 1.8583866659901105, 1.9077938749978784, 1.957353083009366, 2.0068081250065006, 2.0557905829919036, 2.1056053749925923, 2.154361749999225, 2.203152583009796, 2.251924207987031, 2.300566541001899, 2.349197458010167, 2.3975672500091605, 2.4468151250039227, 2.4959988750051707, 2.54552270800923, 2.594902249984443, 2.6434005409828387, 2.6919022079964634, 2.74050845799502, 2.7889198329939973, 2.837340583006153, 2.8857666660042014, 2.9343269579985645, 2.9828577500011306, 3.0314386659883894, 3.0805115409893915, 3.130791500007035, 3.17975874998956, 3.2288341659877915, 3.277399124985095, 3.326127624983201, 3.374221915990347, 3.4226208750042133, 3.4712316659861244, 3.5199430829961784, 3.5685798329941463, 3.616988207999384, 3.6659181659924798, 3.7144759579969104, 3.763093374989694, 3.8119132079882547, 3.8613311249937396, 3.909807499992894, 3.9581794159894343, 4.006914083001902, 4.0555827080097515, 4.103995790996123, 4.1527403749933, 4.201836874999572, 4.250264915986918, 4.299213040998438, 4.347354041005019, 4.3961277499911375, 4.443801582994638, 4.492361374985194, 4.540361207997194, 4.588707707996946, 4.637005791009869, 4.685822250001365, 4.734529000008479, 4.782983165991027, 4.831013666000217, 4.880209458002355, 4.929771916009486, 4.978762499988079, 5.0275184999918565, 5.075544666004134, 5.123731708008563, 5.171835040993756, 5.220535375003237, 5.269114374998026, 5.317554749984993, 5.366080125008011, 5.414705957984552, 5.464106750005158, 5.513232625002274, 5.56215399998473, 5.610405082989018, 5.658771957998397, 5.707140290993266, 5.755507291003596, 5.803745290992083, 5.851913666003384, 5.900484665995464, 5.949415665993001, 5.997958624997409, 6.046875541011104, 6.096404000010807, 6.146073249983601, 6.19497462498839, 6.24595241600764, 6.294868458004203, 6.343463208002504, 6.392068582994398, 6.440546750003705, 6.489044457994169, 6.536921207996784, 6.585639375000028, 6.633599791006418, 6.681978082982823, 6.7306982910085935, 6.7797902500024065, 6.828620332991704, 6.877309208008228, 6.926078749995213, 6.974479374999646, 7.022682957991492, 7.071295250003459, 7.120230625005206, 7.1688550830003805, 7.217269957996905, 7.2660610410093796, 7.314289458008716, 7.362974707997637, 7.4121805829927325, 7.460220915992977, 7.508539291011402, 7.556625916011399, 7.605062207992887, 7.653019874996971, 7.7013214160106145, 7.749631540995324, 7.797811208001804, 7.8467177909915335, 7.896435500006191, 7.94568895798875, 7.994320541009074, 8.042345166002633, 8.09069129099953, 8.138953790999949, 8.187518040998839, 8.236169874988263, 8.284431000007316, 8.332990333001362, 8.381443582999054, 8.430270165990805, 8.479731041006744, 8.52977125000325, 8.57883858299465, 8.627371499984292, 8.675626457988983, 8.723982041003183, 8.772597750008572, 8.821615875000134, 8.870427332993131, 8.919158875010908, 8.967615458008368, 9.015623790997779, 9.065190499997698, 9.114102124993224, 9.163520790985785, 9.212279500003206, 9.261040040990338, 9.309368874994107, 9.357911958009936, 9.406294957996579, 9.454780625004787, 9.503235457988922, 9.552063999988604, 9.600651290995302, 9.649337624985492, 9.697704124992015, 9.746480041008908, 9.795302165992325, 9.843746583006578, 9.89192391600227, 9.940634208003758, 9.988849499990465, 10.037071708007716, 10.085240957996575, 10.133811832987703, 10.182135915994877, 10.23115179099841, 10.28073429100914, 10.330616207997082, 10.379390165995574, 10.428584000008414, 10.476986916008173, 10.52554154099198, 10.573864125006367, 10.622184040985303, 10.67093529101112, 10.719558874989161, 10.768236290983623, 10.816908250009874, 10.865479375002906, 10.914645415992709, 10.963560290983878, 11.012534832989331, 11.061587665986735, 11.109821165999165, 11.157966083002975, 11.206552832998568, 11.254888291005045, 11.30320437499904, 11.352013374998933, 11.400598790991353, 11.448424333008006, 11.497534207999706, 11.546843791002175, 11.596070250001503, 11.644910915987566, 11.693859124992741, 11.743676082987804, 11.79395508300513, 11.844246583001222, 11.894553666003048, 11.944465874985326, 11.994358666008338, 12.043221375002759, 12.09148454098613, 12.13999241599231, 12.189009499998065, 12.238121208007215, 12.287209790985798, 12.336203790997388, 12.384940290998202, 12.433573457994498, 12.482132582983468, 12.532073125010356, 12.582287541008554, 12.632262166007422, 12.682707833009772, 12.731450499995844, 12.781494082999416, 12.83051670799614]",47.7976474170282,,,,238334,000,2023-10-16_14h12.46.766,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238334,000,2023-10-16_14h12.46.766,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.408797125011915,,,238334,000,2023-10-16_14h12.46.766,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.231274333025794,,238334,000,2023-10-16_14h12.46.766,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.26359145800234,238334,000,2023-10-16_14h12.46.766,WythoffsHumanExp,2023.1.3,None,
