practice_games.thisRepN,practice_games.thisTrialN,practice_games.thisN,practice_games.thisIndex,practice_turns.thisRepN,practice_turns.thisTrialN,practice_turns.thisN,practice_turns.thisIndex,section_0_text.started,mouse.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,908687,001,2024-01-24_16h07.29.764,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,908687,001,2024-01-24_16h07.29.764,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,11.806633291998878,,908687,001,2024-01-24_16h07.29.764,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,0.009453041013330221,,,,,,,
