section_0_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,255580,001,2023-10-27_15h08.48.998,WythoffsHumanExp,2023.1.3,None,
,255580,001,2023-10-27_15h08.48.998,WythoffsHumanExp,2023.1.3,None,
50.504244333002134,,,,,,,
