,session,section,type,game,ref_game,move_num,player,start_row,start_col,end_row,end_col,RT,DT,winner,chosen_winner
0,001,0,,1,,1,human,4,0,0,0,1.1447771659586579,1.1908896659733728,human,
1,001,0,,2,,1,AI,14,12,5,3,,1.25,human,
2,001,0,,2,,2,human,5,3,4,3,6.04175870900508,6.087085291976109,human,
3,001,0,,2,,3,AI,4,3,3,3,,1.25,human,
4,001,0,,2,,4,human,3,3,0,0,1.9883267499972135,2.033282666001469,human,
5,001,0,,3,,1,human,6,14,6,0,4.427701290987898,4.472008000011556,human,
6,001,0,,3,,2,AI,6,0,4,0,,1.25,human,
7,001,0,,3,,3,human,4,0,0,0,1.5911210000049323,1.6359332910506055,human,
8,001,1,,1,,1,AI,13,11,13,4,,1.25,AI,
9,001,1,,1,,2,human,13,4,0,4,1.6928374579874799,1.7372149169677868,AI,
10,001,1,,1,,3,AI,0,4,0,0,,1.25,AI,
11,001,1,,2,,1,human,7,0,0,0,1.043224791996181,1.088239041971974,human,
12,001,2,mem,1,2,,,7,0,,,,2.698383874958381,,AI
13,001,2,mem,2,1,,,13,11,,,,1.102487750002183,,human
14,001,3,,1,,1,AI,0,6,0,5,,1.25,human,
15,001,3,,1,,2,human,0,5,0,0,1.2726779580116272,1.3174630829598755,human,
16,001,3,,2,,1,human,11,9,2,0,2.4438187499763444,2.487623957975302,AI,
17,001,3,,2,,2,AI,2,0,0,0,,1.25,AI,
18,001,4,nim,1,,1,AI,6,4,4,4,,1.25,human,
19,001,4,nim,1,,2,human,4,4,4,3,4.273507166013587,4.318872083036695,human,
20,001,4,nim,1,,3,AI,4,3,3,3,,1.25,human,
21,001,4,nim,1,,4,human,3,3,2,3,1.3468829580233432,1.3921257909969427,human,
22,001,4,nim,1,,5,AI,2,3,2,2,,1.25,human,
23,001,4,nim,1,,6,human,2,2,2,1,1.0598459159955382,1.1048307080054656,human,
24,001,4,nim,1,,7,AI,2,1,0,1,,1.25,human,
25,001,4,nim,1,,8,human,0,1,0,0,1.4517561249667779,1.496319375000894,human,
26,001,4,nim,2,,1,human,0,7,0,0,0.9969393329811282,1.0417546249809675,human,
