,session,section,type,game,ref_game,move_num,player,start_row,start_col,end_row,end_col,RT,DT,winner,chosen_winner
0,2,0,,1,,1,human,12,14,2,4,12.287472916999832,12.33778312499635,human,
1,2,0,,1,,2,AI,2,4,0,2,,1.25,human,
2,2,0,,1,,3,human,0,2,0,0,1.1136004580184817,1.1587214579922147,human,
3,2,0,,2,,1,AI,12,9,3,0,,1.25,human,
4,2,0,,2,,2,human,3,0,0,0,1.2182881250046194,1.2628568749642,human,
5,2,0,,3,,1,human,2,13,2,3,2.1516667079995386,2.196395458013285,AI,
6,2,0,,3,,2,AI,2,3,2,1,,1.25,AI,
7,2,0,,3,,3,human,2,1,1,0,2.088518792006653,2.133610833028797,AI,
8,2,0,,3,,4,AI,1,0,0,0,,1.25,AI,
9,2,1,,1,,1,human,8,8,0,0,1.3642901250277646,1.4095193750108592,human,
10,2,1,,2,,1,human,6,10,1,5,3.451221167051699,3.4955895000020973,AI,
11,2,1,,2,,2,AI,1,5,1,2,,1.25,AI,
12,2,1,,2,,3,human,1,2,0,2,2.9515664580394514,2.9958376249996945,AI,
13,2,1,,2,,4,AI,0,2,0,0,,1.25,AI,
14,2,1,,3,,1,human,11,1,2,1,2.498023291991558,2.5432370000053197,human,
15,2,1,,3,,2,AI,2,1,0,1,,1.25,human,
16,2,1,,3,,3,human,0,1,0,0,1.033934417006094,1.0785169170121662,human,
17,2,1,,4,,1,AI,3,11,3,5,,1.25,AI,
18,2,1,,4,,2,human,3,5,1,5,12.203286292031407,12.248677750001661,AI,
19,2,1,,4,,3,AI,1,5,1,2,,1.25,AI,
20,2,1,,4,,4,human,1,2,1,1,2.748907707980834,2.793985749944113,AI,
21,2,1,,4,,5,AI,1,1,0,0,,1.25,AI,
22,2,1,,5,,1,AI,4,8,4,3,,1.25,human,
23,2,1,,5,,2,human,4,3,2,1,3.2018129589851014,3.2463696249760687,human,
24,2,1,,5,,3,AI,2,1,1,0,,1.25,human,
25,2,1,,5,,4,human,1,0,0,0,1.2298180420184508,1.2737210000050254,human,
26,2,1,,6,,1,human,5,1,2,1,2.35592916602036,2.4004684159881435,human,
27,2,1,,6,,2,AI,2,1,1,0,,1.25,human,
28,2,1,,6,,3,human,1,0,0,0,0.9802832919522189,1.025170333974529,human,
29,2,1,,7,,1,AI,4,0,2,0,,1.25,human,
30,2,1,,7,,2,human,2,0,0,0,1.3150230839964934,1.3600488340016454,human,
31,2,1,,8,,1,AI,3,5,3,3,,1.25,human,
32,2,1,,8,,2,human,3,3,0,0,2.146210374950897,2.19089966599131,human,
33,2,1,,9,,1,human,14,7,5,7,3.937631540989969,3.9826656249933876,AI,
34,2,1,,9,,2,AI,5,7,5,3,,1.25,AI,
35,2,1,,9,,3,human,5,3,3,1,8.907132291002199,8.952165165974293,AI,
36,2,1,,9,,4,AI,3,1,2,1,,1.25,AI,
37,2,1,,9,,5,human,2,1,1,1,1.2079919159878045,1.2522589160362259,AI,
38,2,1,,9,,6,AI,1,1,0,0,,1.25,AI,
39,2,1,,10,,1,AI,13,4,7,4,,1.25,AI,
40,2,1,,10,,2,human,7,4,4,1,3.626768667018041,3.6706738750217482,AI,
41,2,1,,10,,3,AI,4,1,1,1,,1.25,AI,
42,2,1,,10,,4,human,1,1,1,0,1.0796085420297459,1.1244865000480786,AI,
43,2,1,,10,,5,AI,1,0,0,0,,1.25,AI,
44,2,1,,11,,1,AI,11,10,11,2,,1.25,human,
45,2,1,,11,,2,human,11,2,1,2,6.934884375019465,6.979440499970224,human,
46,2,1,,11,,3,AI,1,2,0,2,,1.25,human,
47,2,1,,11,,4,human,0,2,0,0,0.9849677089951001,1.030119959032163,human,
48,2,1,,12,,1,AI,2,2,0,0,,1.25,AI,
49,2,1,,13,,1,AI,1,10,1,2,,1.25,AI,
50,2,1,,13,,2,human,1,2,1,1,4.532462666044012,4.577873791044112,AI,
51,2,1,,13,,3,AI,1,1,0,0,,1.25,AI,
52,2,1,,14,,1,human,6,7,1,2,2.186811999999918,2.2317548749851994,human,
53,2,1,,14,,2,AI,1,2,1,1,,1.25,human,
54,2,1,,14,,3,human,1,1,0,0,1.0690336659899913,1.113743041001726,human,
55,2,1,,15,,1,AI,1,12,1,0,,1.25,human,
56,2,1,,15,,2,human,1,0,0,0,1.0233270829776302,1.068178249988705,human,
57,2,1,,16,,1,AI,1,3,0,2,,1.25,human,
58,2,1,,16,,2,human,0,2,0,0,0.9973622089601122,1.04222566698445,human,
59,2,1,,17,,1,human,8,5,3,5,14.711049958015792,14.75550958304666,human,
60,2,1,,17,,2,AI,3,5,3,2,,1.25,human,
61,2,1,,17,,3,human,3,2,1,2,1.651184666028712,1.6959262500167824,human,
62,2,1,,17,,4,AI,1,2,0,2,,1.25,human,
63,2,1,,17,,5,human,0,2,0,0,1.1214887499809265,1.1658189579611644,human,
64,2,1,,18,,1,human,12,2,1,2,1.6593814170337282,1.703676292032469,human,
65,2,1,,18,,2,AI,1,2,1,1,,1.25,human,
66,2,1,,18,,3,human,1,1,0,0,1.4624554159818217,1.5066053330083378,human,
67,2,1,,19,,1,human,11,6,3,6,2.292659458995331,2.337966334016528,human,
68,2,1,,19,,2,AI,3,6,2,6,,1.25,human,
69,2,1,,19,,3,human,2,6,2,1,2.4904930000193417,2.534946375002619,human,
70,2,1,,19,,4,AI,2,1,1,1,,1.25,human,
71,2,1,,19,,5,human,1,1,0,0,1.2185972919687629,1.2631205839570612,human,
72,2,1,,20,,1,human,7,13,7,4,6.985629833012354,7.030247332993895,human,
73,2,1,,20,,2,AI,7,4,1,4,,1.25,human,
74,2,1,,20,,3,human,1,4,1,2,4.193064791965298,4.237463457975537,human,
75,2,1,,20,,4,AI,1,2,0,2,,1.25,human,
76,2,1,,20,,5,human,0,2,0,0,1.0726704580010846,1.1180761660216376,human,
77,2,1,,21,,1,human,1,7,1,2,1.0318111670203507,1.0763157079927623,human,
78,2,1,,21,,2,AI,1,2,1,0,,1.25,human,
79,2,1,,21,,3,human,1,0,0,0,1.3550665419897996,1.4010928749921732,human,
80,2,1,,22,,1,AI,6,12,1,12,,1.25,human,
81,2,1,,22,,2,human,1,12,1,2,1.219251875008922,1.2636104589910246,human,
82,2,1,,22,,3,AI,1,2,1,1,,1.25,human,
83,2,1,,22,,4,human,1,1,0,0,1.4093854579841718,1.4539859580108896,human,
84,2,1,,23,,1,AI,4,3,4,1,,1.25,human,
85,2,1,,23,,2,human,4,1,2,1,1.2730087919626385,1.3173948339535855,human,
86,2,1,,23,,3,AI,2,1,1,0,,1.25,human,
87,2,1,,23,,4,human,1,0,0,0,1.1233134160283953,1.1677837910247035,human,
88,2,1,,24,,1,human,3,7,3,2,10.487058583006728,10.53232650004793,AI,
89,2,1,,24,,2,AI,3,2,2,1,,1.25,AI,
90,2,1,,24,,3,human,2,1,1,1,1.9499052080209367,1.9948091250262223,AI,
91,2,1,,24,,4,AI,1,1,0,0,,1.25,AI,
92,2,1,,25,,1,AI,14,4,3,4,,1.25,human,
93,2,1,,25,,2,human,3,4,1,2,2.3975022090016864,2.4419496250338852,human,
94,2,1,,25,,3,AI,1,2,1,0,,1.25,human,
95,2,1,,25,,4,human,1,0,0,0,2.2314368330407888,2.2762896660133265,human,
96,2,1,,26,,1,human,3,3,0,0,0.9757261660415679,1.0200459160259925,human,
97,2,1,,27,,1,human,10,12,2,4,1.9959893330233172,2.0402669580071233,human,
98,2,1,,27,,2,AI,2,4,2,2,,1.25,human,
99,2,1,,27,,3,human,2,2,0,0,1.0303631669958122,1.0749788749963045,human,
100,2,1,,28,,1,human,6,14,6,3,12.471372958971187,12.516714249970391,human,
101,2,1,,28,,2,AI,6,3,3,0,,1.25,human,
102,2,1,,28,,3,human,3,0,0,0,1.177353166975081,1.2224504170008004,human,
103,2,1,,29,,1,AI,10,3,1,3,,1.25,human,
